ID,Candidate State,Age Range,Residence,Sex,Protected category,TAG,Study area,Study Title,Years Experience,Sector,Last Role,Year of insertion,Year of Recruitment,Recruitment Request,Assumption Headquarters,Job Family Hiring,Job Title Hiring,event_type__val,event_feedback,linked_search__key,Overall,Job Description,Candidate Profile,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,Technical Skills,Standing/Position,Comunication,Maturity,Dynamism,Mobility,English
22,Imported,20 - 25 years,PERUGIA » Perugia ~ Umbria,Male,,,Automotive Engineering,Five-year degree,[1-3],,,2022,,,,,,Candidate notification,,,,"Implementation and modification of algorithms to produce Galileo Key Performance Indicator. Parsing of binary signals described with ASN.1 using CODA, XML language, ASNViewer, ffasn1dump and shell commands. Test, verification and validation of DAT modules wrt Galileo Sw Standard. DAT technical specification wrt Galileo Sw Standard.",,[0-1],,,,,Rome,,,,,,,,,
22,Imported,20 - 25 years,PERUGIA » Perugia ~ Umbria,Male,,,Automotive Engineering,Five-year degree,[1-3],,,2022,,,,,,Notify candidate,KO (seniority),RS22.1308,3 - High,"Implementation and modification of algorithms to produce Galileo Key Performance Indicator. Parsing of binary signals described with ASN.1 using CODA, XML language, ASNViewer, ffasn1dump and shell commands. Test, verification and validation of DAT modules wrt Galileo Sw Standard. DAT technical specification wrt Galileo Sw Standard.",,[0-1],,,,,Rome,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,First contact,20 - 25 years,BIELLA » Biella ~ Piedmont,Male,,,Scientific maturity,Five-year degree,[0],,,2021,,,,,,CV request,,,,,,,,,,,,,,,,,,1.0,,
9,First contact,20 - 25 years,BIELLA » Biella ~ Piedmont,Male,,,Scientific maturity,Five-year degree,[0],,,2021,,,,,,Notify candidate,KO (seniority),RS22.1308,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,Economic proposal,26 - 30 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,,,Biomedical Engineering,Three-year degree,[0],,Junior Buyers,2021,,,,,,Contact note,,,,,,,,,,,,,,,,,,,,
36,Economic proposal,26 - 30 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,,,Biomedical Engineering,Three-year degree,[0],,Junior Buyers,2021,,,,,,Sending SC to customer,,,,,,,,,,,,,,,,1.0,,,,
36,Economic proposal,26 - 30 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,,,Biomedical Engineering,Three-year degree,[0],,Junior Buyers,2021,,,,,,Technical interview,KO (seniority),,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
65,First contact,26 - 30 years,BRESCIA » Brescia ~ Lombardy,Male,,,Information Engineering,master's degree,[1-3],Railway,Program Manager,2021,,,,,,CV request,,RS22.0398,,,,,,,,,,36-38 K,,,,,,,1.0,
65,First contact,26 - 30 years,BRESCIA » Brescia ~ Lombardy,Male,,,Information Engineering,master's degree,[1-3],Railway,Program Manager,2021,,,,,,Notify candidate,KO (seniority),RS22.1308,3 - High,,,,,,,,,36-38 K,,1.0,1.0,1.0,1.0,,1.0,1.0
51,In selection,26 - 30 years,MILAN » Milan ~ Lombardy,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0-1],Consulting,,2021,,Recent Space Graduates,,Tech Consulting & Solutions,Consultant,Qualification Meeting,,RS21.1281,2 - Medium,,,,,,,,,,,3.0,,,,2.0,,3.0
51,In selection,26 - 30 years,MILAN » Milan ~ Lombardy,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0-1],Consulting,,2021,,Recent Space Graduates,,Tech Consulting & Solutions,Consultant,BM interview,OK,RS22.1177,3 - High,,,,,,,,,,,1.0,3.0,,3.0,3.0,3.0,
51,In selection,26 - 30 years,MILAN » Milan ~ Lombardy,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0-1],Consulting,,2021,,Recent Space Graduates,,Tech Consulting & Solutions,Consultant,Notify candidate,OK,RS22.1308,3 - High,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,3.0
51,In selection,26 - 30 years,MILAN » Milan ~ Lombardy,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0-1],Consulting,,2021,,Recent Space Graduates,,Tech Consulting & Solutions,Consultant,Notify candidate,KO (seniority),RS22.1308,3 - High,,,,,,,,,,,,,1.0,1.0,1.0,1.0,
51,In selection,26 - 30 years,MILAN » Milan ~ Lombardy,Male,,,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,[0-1],Consulting,,2021,,Recent Space Graduates,,Tech Consulting & Solutions,Consultant,Sending SC to customer,KO (seniority),RS22.1308,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,First contact,26 - 30 years,TURIN » Turin ~ Piedmont,Male,,,computer engineering,Five-year degree,[0],Others,Mechanical designer and site manager ,2019,,,,,,BM interview,OK (waiting for departure),RS23.0261,2 - Medium,,,,,,,,,,,1.0,,,,,,
0,First contact,26 - 30 years,TURIN » Turin ~ Piedmont,Male,,,computer engineering,Five-year degree,[0],Others,Mechanical designer and site manager ,2019,,,,,,HR interview,OK (live),,3 - High,,,,,,,,,,,2.0,,,,,3.0,3.0
0,First contact,26 - 30 years,TURIN » Turin ~ Piedmont,Male,,,computer engineering,Five-year degree,[0],Others,Mechanical designer and site manager ,2019,,,,,,Notify candidate,KO (seniority),RS22.1308,3 - High,,,,,,,,,,,1.0,1.0,2.0,1.0,3.0,,1.0
0,First contact,26 - 30 years,TURIN » Turin ~ Piedmont,Male,,,computer engineering,Five-year degree,[0],Others,Mechanical designer and site manager ,2019,,,,,,Notify candidate,KO (seniority),RS22.1308,3 - High,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
