ID,Candidate State,Age Range,Residence,Sex,Protected category,TAG,Study area,Study Title,Years Experience,Sector,Last Role,Year of insertion,Year of Recruitment,Recruitment Request,Assumption Headquarters,Job Family Hiring,Job Title Hiring,event_type__val,event_feedback,linked_search__key,Overall,Job Description,Candidate Profile,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,Technical Skills,Standing/Position,Comunication,Maturity,Dynamism,Mobility,English
1207108,Pesaro e Urbino,20 - 25 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,,"., HVAC",Energy and Nuclear Engineering,Five-year degree,[0],Others,sdv-pii-pl0zs,2018,,,,,,CV request,,RS22.0961,4 - Top,,,,,,,,Turin,,,,,,,,,
1207108,Pesaro e Urbino,20 - 25 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,,"., HVAC",Energy and Nuclear Engineering,Five-year degree,[0],Others,sdv-pii-pl0zs,2018,,,,,,CV request,OK (hired),RS20.0370,4 - Top,,,,,,,,Turin,,,,,1.0,,,,
11172921,Trieste,20 - 25 years,ARQUATA WRITES » Alessandria ~ Piedmont,Male,,,Mechanical engineering,Five-year degree,[7-10],Others,sdv-pii-ajs0e,2018,,,Turin,,Junior Consultant,Notify candidate,OK (hired),,4 - Top,,,,,,,,,,28-30 K,,,,,,,
11172921,Trieste,20 - 25 years,ARQUATA WRITES » Alessandria ~ Piedmont,Male,,,Mechanical engineering,Five-year degree,[7-10],Others,sdv-pii-ajs0e,2018,,,Turin,,Junior Consultant,Notify candidate,OK (hired),RS22.1328,4 - Top,,,,,,,,,,28-30 K,,,,4.0,1.0,,
11725401,Enna,26 - 30 years,LA SPEZIA » La-Spezia ~ Liguria,Male,,"ALTERYX, TABLEAU",Automation/Mechatronics Engineering,Five-year degree,[0],,sdv-pii-epxc7,2018,,,,,,CV request,OK (hired),RS22.1178,4 - Top,,,,20K,,,,,,,,1.0,1.0,,,,2.0
11725401,Enna,26 - 30 years,LA SPEZIA » La-Spezia ~ Liguria,Male,,"ALTERYX, TABLEAU",Automation/Mechatronics Engineering,Five-year degree,[0],,sdv-pii-epxc7,2018,,,,,,CV request,OK (hired),RS20.0370,4 - Top,,,,20K,,,,,,,1.0,,,,,,
14204962,Trieste,> 45 years,TURIN » Turin ~ Piedmont,Female,,,Mechanical engineering,Five-year degree,[0],Others,,2018,,,,,,Notify candidate,OK (hired),,4 - Top,,,,,,,,,,,,1.0,,4.0,,1.0,3.0
15498172,Savona,26 - 30 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,,,Civil/Civil and Environmental Engineering,Five-year degree,[0],Others,,2018,,,,,,CV request,,RS23.0856,,,,,,,,,,,,1.0,1.0,1.0,,,,
15498172,Savona,26 - 30 years,BOLOGNA » Bologna ~ Emilia Romagna,Male,,,Civil/Civil and Environmental Engineering,Five-year degree,[0],Others,,2018,,,,,,CV request,,,,,,,,,,,,,,,1.0,,,,1.0,
11385807,Reggio Calabria,20 - 25 years,CASALE MONFERRATO » Alessandria ~ Piedmont,Male,,,Chemist - Pharmaceutical,Three-year degree,[0],,,2018,,,,,,Notify candidate,OK (hired),RS20.0370,4 - Top,,,,,,,,,,,,,,,4.0,,4.0
10518917,Cremona,26 - 30 years,GROTTAGLIE » Taranto ~ Puglia,Female,,"BUYER, CONSTRUCTION, MANAGER, LOGISTICS, EXPEDITING, FIELD/SITE,, NRG, OIL&GAS, ENGINEERING/DESIGN, CONTRACT, BUYER,",computer engineering,Five-year degree,[+10],,,2018,,,,,,CV request,KO (proposed renunciation),,,,Junior Candidate Graduated in Mechanical/Management Engineering Fluent English In-depth knowledge of Excel Knowledge of Prject appreciated,,,,,,,,,,,1.0,1.0,,1.0,
10518917,Cremona,26 - 30 years,GROTTAGLIE » Taranto ~ Puglia,Female,,"BUYER, CONSTRUCTION, MANAGER, LOGISTICS, EXPEDITING, FIELD/SITE,, NRG, OIL&GAS, ENGINEERING/DESIGN, CONTRACT, BUYER,",computer engineering,Five-year degree,[+10],,,2018,,,,,,CV request,OK (hired),,4 - Top,,Junior Candidate Graduated in Mechanical/Management Engineering Fluent English In-depth knowledge of Excel Knowledge of Prject appreciated,,,,,,,,,1.0,,,,1.0,,
12535855,Macerata,20 - 25 years,SAN MAURIZIO CANAVESE » Turin ~ Piedmont,Male,,,industrial engineering,Five-year degree,[0],,sdv-pii-4dg1q,2018,,,,,,Notify candidate,OK (hired),,4 - Top,,,,,,,,,,,4.0,,,,,4.0,
15339964,Cremona,31 - 35 years,TURIN » Turin ~ Piedmont,Male,,,electronic Engineering,High school graduation,[0],,,2018,,,,,,Notify candidate,OK (hired),,4 - Top,,,,,,,,,,,,,4.0,,,,
10242730,Caltanissetta,20 - 25 years,PARMA » Parma ~ Emilia Romagna,Male,,,computer engineering,Three-year degree,[0],,sdv-pii-cele6,2018,,,,,,Notify candidate,OK (hired),RS23.0433,4 - Top,,,,,,,,,,,,,,,,,
