ID,Candidate State,Age Range,Sex,Protected category,Study area,Study Title,Years Experience,Sector,Year of insertion,Year of Recruitment,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,City,Province,Region
15,Imported,26 - 30 years,Male,,computer engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,SQUINZANO,Lecce,Puglia
36,Imported,20 - 25 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,ALESSANDRIA,Alessandria,Piedmont
39,Imported,26 - 30 years,Male,,Automation/Mechatronics Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,BARI,Bari,Puglia
41,First contact,31 - 35 years,Male,,industrial engineering,Five-year degree,[1-3],Others,2021,,,,,,,,,,,,,PERCH DOSIMO,Cremona,Lombardy
47,First contact,36 - 40 years,Male,,Electrical Engineering,Five-year degree,[+10],Energy,2022,,,,,,,,,,,,,GERMANY,(STATE),(OVERSEAS)
84,First contact,26 - 30 years,Male,,Civil/Civil and Environmental Engineering,Five-year degree,[0-1],Others,2022,,,,,,,,,,,,,BOLOGNA,Bologna,Emilia Romagna
87,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,SETTIMO TORINESE,Turin,Piedmont
105,Imported,31 - 35 years,Male,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,TURIN,Turin,Piedmont
114,First contact,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
130,Imported,26 - 30 years,Female,,chemical engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TOLLO,Chieti,Abruzzo
134,First contact,40 - 45 years,Male,,Communication Sciences,Three-year degree,[+10],Services and Information Systems,2021,,,,,,,,,,,,,AVEZZANO,L'Aquila,Abruzzo
137,In selection,< 20 years,Female,,Management Engineering,Five-year degree,[0],Others,2023,,,,,,,,,,,,,NAPLES,Naples,Campania
138,Imported,> 45 years,Male,,Aeronautical/Aerospace/Astronautics Engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,SAN MAURIZIO CANAVESE,Turin,Piedmont
149,In selection,36 - 40 years,Male,,Scientific maturity,High school graduation,[+10],Consulting,2021,,,,,,,,,,,32-34 K,,MILAN,Milan,Lombardy
156,Imported,20 - 25 years,Male,,Information Engineering,Three-year degree,[0],,2021,,,,,,,,,,,,,PADERNO FRANCIACORTA,Brescia,Lombardy
160,First contact,40 - 45 years,Male,,electronic Engineering,master's degree,[+10],Automotive,2021,,,,,,,,,,,,,SETTIMO TORINESE,Turin,Piedmont
165,Hired,26 - 30 years,Male,,Informatics,Three-year degree,[1-3],Telecom,2023,2023,Bologna,Tech Consulting & Solutions,Consultant,[1-3],22-24K,28-30K,Three-year degree,Informatics,Milan,22-24 K,26-28 K,SESTO FIORENTINO,Florence,Tuscany
168,First contact,36 - 40 years,Male,,Mechanical engineering,Five-year degree,[5-7],Others,2018,,,,,,,,,,,Not available,Not available,TURIN,Turin,Piedmont
169,Imported,26 - 30 years,Male,,Mechanical engineering,Three-year degree,[0],,2023,,,,,,,,,,,,,TURIN,Turin,Piedmont
173,Imported,31 - 35 years,Male,,computer engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,CHIVASSO,Turin,Piedmont
179,Imported,26 - 30 years,Female,,Management Engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,VILLAFRANCA TIRRENA,Messina,Sicily
180,First contact,26 - 30 years,Male,,Electrical Engineering,Five-year degree,[0-1],Automotive,2023,,,,,,,,,,,,,NAPLES,Naples,Campania
189,First contact,20 - 25 years,Male,,Biomedical Engineering,Three-year degree,[0],Telecom,2023,,,,,,,,,,,,Not available,GENOA,Genoa,Liguria
195,Imported,< 20 years,Female,,Biomedical Engineering,Three-year degree,[0],,2022,,,,,,,,,,,,,ROME,Rome,Lazio
197,First contact,26 - 30 years,Female,,Biomedical Engineering,Five-year degree,[0],Automotive,2022,,,,,,,,,,,,,ACERRA,Naples,Campania
215,First contact,26 - 30 years,Female,,computer engineering,Five-year degree,[0],,2021,,,,,,,,,,,,,CASTROVILLARI,Cosenza,Calabria
226,Imported,26 - 30 years,Male,,Management Engineering,Five-year degree,[0],,2022,,,,,,,,,,,,,TURIN,Turin,Piedmont
243,In selection,31 - 35 years,Male,,Information Engineering,Five-year degree,[3-5],Services and Information Systems,2022,,,,,,,,,,,40-42 K,44-46 K,CARMAGNOLA,Turin,Piedmont
